GEOID	County	Population5YearsAndOver	SpeakALanguageOtherThanEnglish	Spanish	IndoEuropean	AsianPacificIsland	Other
US47077	"Henderson County, Tennessee"	26472	463	375	52	36	0
US47079	"Henry County, Tennessee"	30571	801	491	120	157	33
US47081	"Hickman County, Tennessee"	23458	458	202	238	18	0
US47083	"Houston County, Tennessee"	7776	72	31	27	14	0
US47085	"Humphreys County, Tennessee"	17508	376	172	39	147	18
US47087	"Jackson County, Tennessee"	11181	272	194	62	5	11
US47089	"Jefferson County, Tennessee"	51090	2334	1450	572	227	85
US47091	"Johnson County, Tennessee"	17022	384	264	59	61	0
US47093	"Knox County, Tennessee"	434639	25400	11972	5587	5538	2303
US47095	"Lake County, Tennessee"	7082	148	123	7	18	0
US47097	"Lauderdale County, Tennessee"	24496	672	538	59	51	24
US47099	"Lawrence County, Tennessee"	40397	2020	605	1362	50	3
US47101	"Lewis County, Tennessee"	11371	425	252	126	35	12
US47103	"Lincoln County, Tennessee"	32090	924	668	92	158	6
US47105	"Loudon County, Tennessee"	49653	4344	3757	382	200	5
US47107	"McMinn County, Tennessee"	50150	2071	1579	304	174	14
US47109	"McNairy County, Tennessee"	24419	651	324	228	23	76
US47111	"Macon County, Tennessee"	22155	860	757	18	85	0
US47113	"Madison County, Tennessee"	91575	4288	3190	404	476	218
US47115	"Marion County, Tennessee"	26894	307	235	41	20	11
US47117	"Marshall County, Tennessee"	30977	1728	1376	280	46	26
US47119	"Maury County, Tennessee"	85850	4695	3703	346	542	104
US47121	"Meigs County, Tennessee"	11478	164	128	10	26	0
US47123	"Monroe County, Tennessee"	43407	1437	1227	137	68	5
US47125	"Montgomery County, Tennessee"	183316	16748	10124	2848	2701	1075
US47127	"Moore County, Tennessee"	6037	154	1	139	14	0
US47129	"Morgan County, Tennessee"	20496	354	203	119	3	29
US47131	"Obion County, Tennessee"	28639	1163	811	172	53	127
US47133	"Overton County, Tennessee"	20873	422	158	105	159	0
US47135	"Perry County, Tennessee"	7462	445	89	329	27	0
US47137	"Pickett County, Tennessee"	4854	14	14	0	0	0
US47139	"Polk County, Tennessee"	16015	364	238	109	17	0
US47141	"Putnam County, Tennessee"	72987	4489	3241	487	595	166
US47143	"Rhea County, Tennessee"	30588	1423	1148	234	36	5
US47145	"Roane County, Tennessee"	50653	1435	680	544	211	0
US47147	"Robertson County, Tennessee"	65857	4074	3293	312	302	167
US47149	"Rutherford County, Tennessee"	295129	33441	19177	3478	7377	3409
US47151	"Scott County, Tennessee"	20632	209	185	14	10	0
US47153	"Sequatchie County, Tennessee"	14100	422	355	67	0	0
US47155	"Sevier County, Tennessee"	91834	6306	4450	955	688	213
US47157	"Shelby County, Tennessee"	870121	83320	47814	10746	15500	9260
US47159	"Smith County, Tennessee"	18616	355	151	47	111	46
US47161	"Stewart County, Tennessee"	12611	315	128	105	82	0
US47163	"Sullivan County, Tennessee"	149311	3950	2468	757	571	154
US47165	"Sumner County, Tennessee"	172283	11100	6318	2799	1061	922
US47167	"Tipton County, Tennessee"	57713	1618	1259	133	195	31
US47169	"Trousdale County, Tennessee"	9636	209	172	17	20	0
US47171	"Unicoi County, Tennessee"	17087	925	776	96	53	0
US47173	"Union County, Tennessee"	18463	383	176	108	99	0
US47175	"Van Buren County, Tennessee"	5452	244	101	132	3	8
US47177	"Warren County, Tennessee"	38258	2674	2066	385	180	43
US47179	"Washington County, Tennessee"	121354	5791	2735	1268	1202	586
US47181	"Wayne County, Tennessee"	15871	276	119	87	70	0
US47183	"Weakley County, Tennessee"	31791	621	409	91	61	60
US47185	"White County, Tennessee"	25186	331	156	98	34	43
US47187	"Williamson County, Tennessee"	211953	18035	7680	4542	5153	660
US47189	"Wilson County, Tennessee"	128540	7859	3790	1950	758	1361
US48001	"Anderson County, Texas"	54765	8103	7432	212	233	226
US48003	"Andrews County, Texas"	16485	7199	7053	113	28	5
US48005	"Angelina County, Texas"	81413	15046	13986	330	677	53
US48007	"Aransas County, Texas"	23326	4643	4224	97	312	10
US48009	"Archer County, Texas"	8260	472	455	2	15	0
US48011	"Armstrong County, Texas"	1855	119	116	0	0	3
US48013	"Atascosa County, Texas"	45891	17669	17364	291	14	0
US48015	"Austin County, Texas"	27978	5789	5368	338	56	27
US48017	"Bailey County, Texas"	6642	3194	3133	0	46	15
US48019	"Bandera County, Texas"	21265	2400	2170	177	53	0
US48021	"Bastrop County, Texas"	79003	23313	21816	1059	398	40
US48023	"Baylor County, Texas"	3424	157	103	14	40	0
US48025	"Bee County, Texas"	30710	10642	10268	178	145	51
US48027	"Bell County, Texas"	318854	61888	45312	6621	8134	1821
US48029	"Bexar County, Texas"	1813726	718570	646897	27296	33581	10796
US48031	"Blanco County, Texas"	10992	1234	963	124	145	2
US48033	"Borden County, Texas"	513	82	47	6	0	29
US48035	"Bosque County, Texas"	17317	2270	2071	116	66	17
US48037	"Bowie County, Texas"	87386	4895	3796	246	718	135
US48039	"Brazoria County, Texas"	335654	89107	67041	5015	14563	2488
US48041	"Brazos County, Texas"	209299	50627	34770	5572	8722	1563
US48043	"Brewster County, Texas"	8762	3016	2789	130	97	0
US48045	"Briscoe County, Texas"	1405	342	331	11	0	0
US48047	"Brooks County, Texas"	6563	4053	4036	0	17	0
US48049	"Brown County, Texas"	35890	4543	4170	135	201	37
US48051	"Burleson County, Texas"	16979	2737	2556	181	0	0
US48053	"Burnet County, Texas"	44113	6433	6030	183	177	43
US48055	"Caldwell County, Texas"	39512	14311	13903	308	7	93
US48057	"Calhoun County, Texas"	20222	6563	5447	17	1073	26
US48059	"Callahan County, Texas"	13160	1020	825	151	44	0
US48061	"Cameron County, Texas"	386880	276315	273157	1001	1683	474
US48063	"Camp County, Texas"	11993	2495	2312	117	66	0
US48065	"Carson County, Texas"	5590	382	342	27	13	0
US48067	"Cass County, Texas"	28351	1183	975	98	110	0
US48069	"Castro County, Texas"	7078	3704	3634	0	30	40
US48071	"Chambers County, Texas"	38519	6913	6024	359	336	194
US48073	"Cherokee County, Texas"	48389	9787	9422	158	201	6
US48075	"Childress County, Texas"	6953	1628	1602	0	26	0
US48077	"Clay County, Texas"	9945	668	529	11	117	11
US48079	"Cochran County, Texas"	2675	1233	1194	39	0	0
US48081	"Coke County, Texas"	3210	348	344	4	0	0
US48083	"Coleman County, Texas"	7870	791	761	4	23	3
US48085	"Collin County, Texas"	913077	261612	106103	62398	76255	16856
US48087	"Collingsworth County, Texas"	2782	652	570	82	0	0
US48089	"Colorado County, Texas"	19834	4293	4006	252	20	15
US48091	"Comal County, Texas"	133458	23967	20813	2204	772	178
US48093	"Comanche County, Texas"	12759	2810	2713	78	19	0
US48095	"Concho County, Texas"	3172	1120	1060	39	13	8
US48097	"Cooke County, Texas"	37310	5539	4939	260	288	52
US48099	"Coryell County, Texas"	70009	9581	6650	1558	1154	219
US48101	"Cottle County, Texas"	1487	297	284	13	0	0
US48103	"Crane County, Texas"	4417	1995	1891	0	104	0
US48105	"Crockett County, Texas"	3314	1654	1654	0	0	0
US48107	"Crosby County, Texas"	5446	1888	1837	7	44	0
US48109	"Culberson County, Texas"	1984	1248	1235	0	13	0
US48111	"Dallam County, Texas"	6612	2882	2404	447	30	1
US48113	"Dallas County, Texas"	2411921	1049352	847590	65585	92334	43843
US48115	"Dawson County, Texas"	11908	4539	4421	66	14	38
US48117	"Deaf Smith County, Texas"	17081	9481	9332	17	81	51
US48119	"Delta County, Texas"	4952	219	190	16	9	4
US48121	"Denton County, Texas"	780767	183621	105735	29089	39226	9571
US48123	"DeWitt County, Texas"	19013	3686	3570	109	7	0
US48125	"Dickens County, Texas"	2087	384	355	28	0	1
US48127	"Dimmit County, Texas"	9687	6061	5945	4	104	8
US48129	"Donley County, Texas"	3175	175	158	9	7	1
US48131	"Duval County, Texas"	10463	5948	5907	41	0	0
US48133	"Eastland County, Texas"	17185	2217	2007	70	121	19
US48135	"Ector County, Texas"	145951	66652	64059	919	1037	637
US48137	"Edwards County, Texas"	1836	789	776	13	0	0
US48139	"Ellis County, Texas"	162107	29258	27361	725	667	505
US48141	"El Paso County, Texas"	772180	545226	530201	6112	6507	2406
US48143	"Erath County, Texas"	39266	6185	5580	412	193	0
US48145	"Falls County, Texas"	16229	3016	2657	323	7	29
US48147	"Fannin County, Texas"	32797	3182	2605	508	49	20
US48149	"Fayette County, Texas"	23873	4602	3927	530	145	0
US48151	"Fisher County, Texas"	3555	714	671	31	12	0
US48153	"Floyd County, Texas"	5438	2022	2022	0	0	0
US48155	"Foard County, Texas"	1225	183	183	0	0	0
US48157	"Fort Bend County, Texas"	712576	281435	125521	59858	74453	21603
US48159	"Franklin County, Texas"	10120	1340	1188	115	5	32
US48161	"Freestone County, Texas"	18577	2602	2366	161	0	75
US48163	"Frio County, Texas"	18576	11199	10848	190	70	91
US48165	"Gaines County, Texas"	18434	10629	5651	4889	58	31
US48167	"Galveston County, Texas"	311612	62516	49376	4765	6914	1461
US48169	"Garza County, Texas"	5810	2645	2512	10	115	8
US48171	"Gillespie County, Texas"	25143	4821	4001	795	17	8
US48173	"Glasscock County, Texas"	1446	494	481	13	0	0
US48175	"Goliad County, Texas"	7273	1396	1150	190	55	1
US48177	"Gonzales County, Texas"	19216	6442	6342	31	47	22
US48179	"Gray County, Texas"	20801	4160	3951	110	43	56
US48181	"Grayson County, Texas"	122743	13349	11151	717	1343	138
US48183	"Gregg County, Texas"	114349	19008	17089	801	934	184
US48185	"Grimes County, Texas"	26454	5016	4793	184	32	7
US48187	"Guadalupe County, Texas"	148973	33042	29415	1584	1848	195
US48189	"Hale County, Texas"	31528	11652	11349	113	92	98
US48191	"Hall County, Texas"	2943	872	855	0	17	0
US48193	"Hamilton County, Texas"	7840	748	690	17	41	0
US48195	"Hansford County, Texas"	5073	2186	2186	0	0	0
US48197	"Hardeman County, Texas"	3747	567	557	2	0	8
US48199	"Hardin County, Texas"	53034	2808	1751	293	218	546
US48201	"Harris County, Texas"	4294160	1904585	1504602	133848	198764	67371
US48203	"Harrison County, Texas"	62307	5113	4647	143	217	106
US48205	"Hartley County, Texas"	5359	1067	917	77	72	1
US48207	"Haskell County, Texas"	5494	1123	1059	39	17	8
US48209	"Hays County, Texas"	200350	51715	46044	2394	1863	1414
US48211	"Hemphill County, Texas"	3757	1220	1195	25	0	0
US48213	"Henderson County, Texas"	76582	8214	7288	462	440	24
US48215	"Hidalgo County, Texas"	776573	647944	639614	2079	5762	489
US48217	"Hill County, Texas"	33585	5421	5080	180	109	52
US48219	"Hockley County, Texas"	21514	6766	6538	101	70	57
US48221	"Hood County, Texas"	55146	5202	4690	446	64	2
US48223	"Hopkins County, Texas"	34175	4679	4284	316	79	0
US48225	"Houston County, Texas"	21782	1916	1773	14	100	29
US48227	"Howard County, Texas"	34039	10194	9670	197	208	119
US48229	"Hudspeth County, Texas"	4204	3135	3062	15	34	24
US48231	"Hunt County, Texas"	88256	12494	11155	462	771	106
US48233	"Hutchinson County, Texas"	19949	2379	2286	59	34	0
US48235	"Irion County, Texas"	1554	300	300	0	0	0
US48237	"Jack County, Texas"	8374	1059	1039	20	0	0
US48239	"Jackson County, Texas"	13806	3070	2852	101	116	1
US48241	"Jasper County, Texas"	33412	2219	1680	381	135	23
US48243	"Jeff Davis County, Texas"	2180	937	882	55	0	0
US48245	"Jefferson County, Texas"	236765	53510	41887	3697	6318	1608
US48247	"Jim Hogg County, Texas"	4711	3075	3075	0	0	0
US48249	"Jim Wells County, Texas"	37863	18043	17702	304	29	8
US48251	"Johnson County, Texas"	156197	24718	21787	1146	1492	293
US48253	"Jones County, Texas"	19069	3532	3338	64	81	49
US48255	"Karnes County, Texas"	14633	4853	4486	166	161	40
US48257	"Kaufman County, Texas"	114926	19655	17522	600	937	596
US48259	"Kendall County, Texas"	41650	5320	4729	374	202	15
US48261	"Kenedy County, Texas"	468	400	400	0	0	0
US48263	"Kent County, Texas"	625	68	68	0	0	0
US48265	"Kerr County, Texas"	49191	7280	6799	305	145	31
US48267	"Kimble County, Texas"	4093	688	674	6	0	8
US48269	"King County, Texas"	223	74	74	0	0	0
US48271	"Kinney County, Texas"	3559	1561	1561	0	0	0
US48273	"Kleberg County, Texas"	28849	11789	11088	110	382	209
US48275	"Knox County, Texas"	3442	851	778	71	2	0
US48277	"Lamar County, Texas"	46295	3968	2937	574	188	269
US48279	"Lamb County, Texas"	12159	4996	4923	16	57	0
US48281	"Lampasas County, Texas"	19742	2242	1697	310	232	3
US48283	"La Salle County, Texas"	7093	4291	4248	12	5	26
US48285	"Lavaca County, Texas"	18819	3060	2452	535	73	0
US48287	"Lee County, Texas"	15998	2816	2410	232	169	5
US48289	"Leon County, Texas"	16178	1868	1698	38	132	0
US48291	"Liberty County, Texas"	77733	16671	15909	391	309	62
US48293	"Limestone County, Texas"	21949	4154	3894	48	166	46
US48295	"Lipscomb County, Texas"	3144	794	751	14	29	0
US48297	"Live Oak County, Texas"	11479	3500	3235	100	139	26
US48299	"Llano County, Texas"	20226	1290	1117	73	100	0
US48301	"Loving County, Texas"	77	15	15	0	0	0
US48303	"Lubbock County, Texas"	284371	61388	51721	3891	3856	1920
US48305	"Lynn County, Texas"	5442	1573	1405	161	5	2
US48307	"McCulloch County, Texas"	7545	1619	1537	82	0	0
US48309	"McLennan County, Texas"	233525	44751	39655	2168	2530	398
US48311	"McMullen County, Texas"	710	75	69	6	0	0
US48313	"Madison County, Texas"	13318	2584	2248	137	193	6
US48315	"Marion County, Texas"	9576	366	288	15	63	0
US48317	"Martin County, Texas"	5189	1754	1600	154	0	0
US48319	"Mason County, Texas"	3914	830	639	161	30	0
US48321	"Matagorda County, Texas"	34162	10500	9848	54	593	5
US48323	"Maverick County, Texas"	52723	48669	48025	0	296	348
US48325	"Medina County, Texas"	47127	14848	14526	204	110	8
US48327	"Menard County, Texas"	2110	644	644	0	0	0
US48329	"Midland County, Texas"	153413	52605	47937	839	2980	849
US48331	"Milam County, Texas"	23251	4001	3724	127	128	22
US48333	"Mills County, Texas"	4722	625	618	7	0	0
US48335	"Mitchell County, Texas"	8087	2049	2029	9	0	11
US48337	"Montague County, Texas"	18348	1866	1786	80	0	0
US48339	"Montgomery County, Texas"	533248	122778	101097	10489	8859	2333
US48341	"Moore County, Texas"	19489	10073	8471	181	1062	359
US48343	"Morris County, Texas"	11690	1109	967	122	20	0
US48345	"Motley County, Texas"	1201	177	177	0	0	0
US48347	"Nacogdoches County, Texas"	61070	10386	9325	437	472	152
US48349	"Navarro County, Texas"	45419	11236	10312	421	431	72
US48351	"Newton County, Texas"	13282	349	243	73	17	16
US48353	"Nolan County, Texas"	13826	3485	3323	78	16	68
US48355	"Nueces County, Texas"	337129	121197	113119	2261	4739	1078
US48357	"Ochiltree County, Texas"	9281	4250	4250	0	0	0
US48359	"Oldham County, Texas"	1974	247	210	5	32	0
US48361	"Orange County, Texas"	78312	5417	3776	912	694	35
US48363	"Palo Pinto County, Texas"	26804	3935	3649	161	125	0
US48365	"Panola County, Texas"	21931	1553	1455	88	10	0
US48367	"Parker County, Texas"	125555	11301	9945	788	455	113
US48369	"Parmer County, Texas"	8964	4621	4494	94	33	0
US48371	"Pecos County, Texas"	14800	7852	7611	79	114	48
US48373	"Polk County, Texas"	46322	6562	5741	299	265	257
US48375	"Potter County, Texas"	110209	36053	28266	557	5164	2066
US48377	"Presidio County, Texas"	6483	5204	5109	0	94	1
US48379	"Rains County, Texas"	11174	929	819	27	83	0
US48381	"Randall County, Texas"	125362	14878	11544	1207	1558	569
US48383	"Reagan County, Texas"	3438	1887	1868	13	6	0
US48385	"Real County, Texas"	3178	433	412	14	2	5
US48387	"Red River County, Texas"	11633	513	494	17	0	2
US48389	"Reeves County, Texas"	14592	8326	8129	20	173	4
US48391	"Refugio County, Texas"	6720	1944	1899	26	19	0
US48393	"Roberts County, Texas"	777	41	41	0	0	0
US48395	"Robertson County, Texas"	15889	2845	2432	101	16	296
US48397	"Rockwall County, Texas"	91175	14956	10965	1688	1508	795
US48399	"Runnels County, Texas"	9710	1241	1216	10	11	4
US48401	"Rusk County, Texas"	50665	7366	6783	401	109	73
US48403	"Sabine County, Texas"	9980	345	301	16	7	21
US48405	"San Augustine County, Texas"	7868	358	350	6	0	2
US48407	"San Jacinto County, Texas"	26725	3434	3365	60	9	0
US48409	"San Patricio County, Texas"	62146	21931	21226	374	331	0
US48411	"San Saba County, Texas"	5681	1313	1285	19	9	0
US48413	"Schleicher County, Texas"	2766	1275	1268	0	7	0
US48415	"Scurry County, Texas"	15953	4194	4103	19	49	23
US48417	"Shackelford County, Texas"	3092	218	205	1	12	0
US48419	"Shelby County, Texas"	23542	4280	4192	38	50	0
US48421	"Sherman County, Texas"	2885	1050	1049	1	0	0
US48423	"Smith County, Texas"	211920	35657	31359	1561	2109	628
US48425	"Somervell County, Texas"	8412	855	816	0	24	15
US48427	"Starr County, Texas"	57733	54960	54948	4	7	1
US48429	"Stephens County, Texas"	8883	1516	1440	26	27	23
US48431	"Sterling County, Texas"	1154	312	312	0	0	0
US48433	"Stonewall County, Texas"	1352	188	185	0	0	3
US48435	"Sutton County, Texas"	3494	1882	1817	28	15	22
US48437	"Swisher County, Texas"	6979	2071	2068	3	0	0
US48439	"Tarrant County, Texas"	1905211	552141	404782	48405	65225	33729
US48441	"Taylor County, Texas"	126801	21981	17040	2003	1936	1002
US48443	"Terrell County, Texas"	870	498	488	10	0	0
US48445	"Terry County, Texas"	11489	4602	4097	497	0	8
US48447	"Throckmorton County, Texas"	1359	136	134	0	0	2
US48449	"Titus County, Texas"	30121	11790	11388	279	108	15
US48451	"Tom Green County, Texas"	109965	28289	26149	755	949	436
US48453	"Travis County, Texas"	1148527	357821	265387	36622	43523	12289
US48455	"Trinity County, Texas"	13891	1134	1058	29	47	0
US48457	"Tyler County, Texas"	20502	1964	1675	166	112	11
US48459	"Upshur County, Texas"	38648	2346	2205	26	95	20
US48461	"Upton County, Texas"	3400	1321	1303	0	18	0
US48463	"Uvalde County, Texas"	24944	12886	12526	157	195	8
US48465	"Val Verde County, Texas"	44837	30294	29828	182	280	4
US48467	"Van Zandt County, Texas"	51974	4021	3621	223	86	91
US48469	"Victoria County, Texas"	85618	21466	19958	521	872	115
US48471	"Walker County, Texas"	69256	12107	9957	331	621	1198
US48473	"Waller County, Texas"	48449	12814	12179	239	328	68
US48475	"Ward County, Texas"	10807	3910	3795	4	111	0
US48477	"Washington County, Texas"	33051	4845	4189	205	398	53
US48479	"Webb County, Texas"	247446	222390	220881	419	972	118
US48481	"Wharton County, Texas"	38741	10025	9604	284	99	38
US48483	"Wheeler County, Texas"	4978	998	973	5	3	17
US48485	"Wichita County, Texas"	123069	17030	12824	1190	2233	783
US48487	"Wilbarger County, Texas"	12132	2084	1922	43	107	12
US48489	"Willacy County, Texas"	20200	12819	12785	25	0	9
US48491	"Williamson County, Texas"	511512	111293	71478	17273	19368	3174
US48493	"Wilson County, Texas"	46231	9518	8790	625	95	8
US48495	"Winkler County, Texas"	7245	2812	2812	0	0	0
US48497	"Wise County, Texas"	62060	9942	9403	221	260	58
US48499	"Wood County, Texas"	42221	3751	3186	219	236	110
US48501	"Yoakum County, Texas"	7841	4779	4438	341	0	0
US48503	"Young County, Texas"	16976	2373	2270	35	57	11
US48505	"Zapata County, Texas"	12976	11588	11495	93	0	0
US48507	"Zavala County, Texas"	11149	8049	8040	3	0	6
US49001	"Beaver County, Utah"	5906	713	665	4	0	44
US49003	"Box Elder County, Utah"	49551	3668	2828	450	246	144
US49005	"Cache County, Utah"	113374	12025	7872	1555	2026	572
US49007	"Carbon County, Utah"	19088	972	779	111	60	22
US49009	"Daggett County, Utah"	589	20	10	0	0	10
US49011	"Davis County, Utah"	315978	31741	21116	5086	5146	393
US49013	"Duchesne County, Utah"	18215	1343	965	40	151	187
US49015	"Emery County, Utah"	9462	692	524	114	44	10
US49017	"Garfield County, Utah"	4685	526	306	116	7	97
US49019	"Grand County, Utah"	9159	1068	628	88	56	296
US49021	"Iron County, Utah"	47128	3629	2542	502	317	268
US49023	"Juab County, Utah"	10334	362	305	30	10	17
US49025	"Kane County, Utah"	7052	211	74	54	27	56
US49027	"Millard County, Utah"	11829	1551	1361	48	123	19
US49029	"Morgan County, Utah"	10691	478	265	170	29	14
US49031	"Piute County, Utah"	1758	73	55	6	2	10
US49033	"Rich County, Utah"	2244	170	170	0	0	0
US49035	"Salt Lake County, Utah"	1047288	222487	142917	31636	37819	10115
US49037	"San Juan County, Utah"	14101	5651	314	141	42	5154
US49039	"Sanpete County, Utah"	28033	3091	2373	199	285	234
US49041	"Sevier County, Utah"	19765	1206	933	140	19	114
US49043	"Summit County, Utah"	39096	5716	4285	840	410	181
US49045	"Tooele County, Utah"	61893	5087	3805	566	488	228
US49047	"Uintah County, Utah"	32897	3045	1436	416	159	1034
US49049	"Utah County, Utah"	547526	82817	58536	11495	11170	1616
US49051	"Wasatch County, Utah"	29285	3627	3086	262	232	47
US49053	"Washington County, Utah"	154569	14954	11456	1615	1439	444
US49055	"Wayne County, Utah"	2519	254	183	19	52	0
US49057	"Weber County, Utah"	231948	32473	27162	2630	2333	348
US50001	"Addison County, Vermont"	35354	2130	588	837	576	129
US50003	"Bennington County, Vermont"	34042	1558	406	867	226	59
US50005	"Caledonia County, Vermont"	28844	1086	260	627	130	69
US50007	"Chittenden County, Vermont"	154990	15887	2016	9235	2866	1770
US50009	"Essex County, Vermont"	5936	377	14	338	19	6
US50011	"Franklin County, Vermont"	46163	1656	293	1219	91	53
US50013	"Grand Isle County, Vermont"	6720	355	104	211	27	13
US50015	"Lamoille County, Vermont"	24030	886	180	516	154	36
US50017	"Orange County, Vermont"	27539	930	291	563	52	24
US50019	"Orleans County, Vermont"	25606	1388	131	1214	22	21
US50021	"Rutland County, Vermont"	56272	2540	961	1014	455	110
US50023	"Washington County, Vermont"	55559	2101	470	1256	281	94
US50025	"Windham County, Vermont"	40877	1576	457	749	251	119
US50027	"Windsor County, Vermont"	52813	2220	600	1179	253	188
US51001	"Accomack County, Virginia"	30791	3544	2486	845	171	42
US51003	"Albemarle County, Virginia"	101622	11893	4610	3628	2908	747
US51005	"Alleghany County, Virginia"	14484	264	193	55	16	0
US51007	"Amelia County, Virginia"	12190	461	344	117	0	0
US51009	"Amherst County, Virginia"	30051	854	439	208	133	74
US51011	"Appomattox County, Virginia"	14813	246	215	19	5	7
US51013	"Arlington County, Virginia"	219590	65133	29632	14531	12580	8390
US51015	"Augusta County, Virginia"	71671	2471	1615	612	213	31
US51017	"Bath County, Virginia"	4103	84	56	0	15	13
US51019	"Bedford County, Virginia"	74667	3279	1081	1111	583	504
US51021	"Bland County, Virginia"	6113	145	102	17	19	7
US51023	"Botetourt County, Virginia"	31924	904	428	383	84	9
US51025	"Brunswick County, Virginia"	15811	452	274	77	78	23
US51027	"Buchanan County, Virginia"	20924	426	69	93	62	202
US51029	"Buckingham County, Virginia"	16304	363	222	83	22	36
US51031	"Campbell County, Virginia"	52396	1593	831	325	377	60
US51033	"Caroline County, Virginia"	28228	1623	1149	362	38	74
US51035	"Carroll County, Virginia"	28306	709	500	190	4	15
US51036	"Charles City County, Virginia"	6730	208	85	80	41	2
US51037	"Charlotte County, Virginia"	11442	245	20	179	40	6
US51041	"Chesterfield County, Virginia"	322925	38480	23440	6715	6008	2317
US51043	"Clarke County, Virginia"	13785	834	553	156	104	21
US51045	"Craig County, Virginia"	4807	34	32	2	0	0
US51047	"Culpeper County, Virginia"	47813	5927	4303	849	397	378
US51049	"Cumberland County, Virginia"	9364	328	25	238	60	5
US51051	"Dickenson County, Virginia"	14029	61	40	21	0	0
US51053	"Dinwiddie County, Virginia"	26978	1118	856	131	111	20
US51057	"Essex County, Virginia"	10358	373	141	111	89	32
US51059	"Fairfax County, Virginia"	1071858	421367	149180	94037	129435	48715
US51061	"Fauquier County, Virginia"	65735	5978	4043	1051	698	186
US51063	"Floyd County, Virginia"	14961	394	264	97	21	12
US51065	"Fluvanna County, Virginia"	25407	1225	531	458	190	46
US51067	"Franklin County, Virginia"	53575	1761	1164	407	140	50
US51069	"Frederick County, Virginia"	81267	7913	6474	770	502	167
US51071	"Giles County, Virginia"	15904	295	225	35	22	13
US51073	"Gloucester County, Virginia"	35337	1030	390	399	194	47
US51075	"Goochland County, Virginia"	22024	1111	453	350	253	55
US51077	"Grayson County, Virginia"	15050	766	625	56	65	20
US51079	"Greene County, Virginia"	18410	1403	992	240	163	8
US51081	"Greensville County, Virginia"	11076	436	322	84	7	23
US51083	"Halifax County, Virginia"	32677	1475	644	421	155	255
US51085	"Hanover County, Virginia"	100281	4392	2111	982	1013	286
US51087	"Henrico County, Virginia"	307420	47193	13413	12852	15782	5146
US51089	"Henry County, Virginia"	48904	3301	2672	330	274	25
US51091	"Highland County, Virginia"	2119	16	16	0	0	0
US51093	"Isle of Wight County, Virginia"	34735	1659	750	549	206	154
US51095	"James City County, Virginia"	71330	5701	2433	1691	1192	385
US51097	"King and Queen County, Virginia"	6671	66	66	0	0	0
US51099	"King George County, Virginia"	24615	1226	837	217	130	42
US51101	"King William County, Virginia"	15768	409	142	201	64	2
US51103	"Lancaster County, Virginia"	10294	367	128	212	27	0
US51105	"Lee County, Virginia"	22861	606	426	66	24	90
US51107	"Loudoun County, Virginia"	366827	115858	39846	33998	33851	8163
US51109	"Louisa County, Virginia"	34034	1628	862	519	129	118
US51111	"Lunenburg County, Virginia"	11720	565	180	133	196	56
US51113	"Madison County, Virginia"	12545	453	151	184	118	0
US51115	"Mathews County, Virginia"	8455	239	61	122	56	0
US51117	"Mecklenburg County, Virginia"	29171	597	362	129	29	77
US51119	"Middlesex County, Virginia"	10247	386	196	139	40	11
US51121	"Montgomery County, Virginia"	93826	9639	2054	2986	3913	686
US51125	"Nelson County, Virginia"	14168	612	313	182	51	66
US51127	"New Kent County, Virginia"	20484	861	465	254	142	0
US51131	"Northampton County, Virginia"	11256	1076	825	184	67	0
US51133	"Northumberland County, Virginia"	11829	398	179	117	35	67
US51135	"Nottoway County, Virginia"	14613	589	496	16	9	68
US51137	"Orange County, Virginia"	33975	1948	1476	437	10	25
US51139	"Page County, Virginia"	22636	521	270	173	59	19
US51141	"Patrick County, Virginia"	16959	708	483	135	71	19
US51143	"Pittsylvania County, Virginia"	58696	2012	1286	497	161	68
US51145	"Powhatan County, Virginia"	27524	674	333	287	30	24
US51147	"Prince Edward County, Virginia"	21846	1453	955	292	189	17
US51149	"Prince George County, Virginia"	35979	2798	1548	802	273	175
US51153	"Prince William County, Virginia"	427305	144209	83634	26343	17600	16632
US51155	"Pulaski County, Virginia"	32576	791	449	180	95	67
US51157	"Rappahannock County, Virginia"	7026	375	217	87	63	8
US51159	"Richmond County, Virginia"	8630	737	615	19	40	63
US51161	"Roanoke County, Virginia"	89405	6206	2254	1798	1778	376
US51163	"Rockbridge County, Virginia"	21590	715	390	272	53	0
US51165	"Rockingham County, Virginia"	75751	7065	4456	1554	284	771
US51167	"Russell County, Virginia"	25877	512	308	136	62	6
US51169	"Scott County, Virginia"	21024	352	145	112	42	53
US51171	"Shenandoah County, Virginia"	40885	3023	2411	390	150	72
US51173	"Smyth County, Virginia"	29293	765	459	179	62	65
US51175	"Southampton County, Virginia"	17008	278	94	135	13	36
US51177	"Spotsylvania County, Virginia"	124580	12593	8396	1961	1594	642
US51179	"Stafford County, Virginia"	137410	19744	12125	3504	2447	1668
US51181	"Surry County, Virginia"	6237	79	8	36	22	13
US51183	"Sussex County, Virginia"	10890	516	259	120	20	117
US51185	"Tazewell County, Virginia"	39409	465	119	151	135	60
US51187	"Warren County, Virginia"	37167	2251	1288	463	363	137
US51191	"Washington County, Virginia"	51855	991	576	264	106	45
US51193	"Westmoreland County, Virginia"	16844	986	730	156	82	18
US51195	"Wise County, Virginia"	36628	640	321	243	60	16
